===============================================
Total Count: 142656
===============================================

Operator            Count               %                   

MOV                 81565               57.176        
CLD                 16668               11.6841       
CALL_NEAR           12064               8.45671       
JNZ                 8612                6.0369        
CMP                 3964                2.77871       
JMP                 3152                2.20951       
SETO                2840                1.9908        
NOP                 2158                1.51273       
LAHF                2048                1.43562       
MOVDQU              1467                1.02835       
SAHF                1355                0.949837      
ADD                 973                 0.68206       
VMOVDQU             783                 0.548873      
JZ                  668                 0.468259      
JB                  588                 0.41218       
PUSH                478                 0.335072      
MOVSXD              440                 0.308434      
JLE                 367                 0.257262      
PCMPEQB             358                 0.250953      
JNB                 348                 0.243943      
XOR                 313                 0.219409      
AND                 313                 0.219409      
TEST                283                 0.198379      
OR                  235                 0.164732      
PMOVMSKB            153                 0.107251      
MOVDQA              111                 0.0778096     
SHL                 101                 0.0707997     
POR                 74                  0.051873      
JS                  38                  0.0266375     
POP                 27                  0.0189266     
JNL                 24                  0.0168237     
SUB                 22                  0.0154217     
NOT                 18                  0.0126178     
JNS                 12                  0.00841184    
SHR                 9                   0.00630888    
PXOR                7                   0.00490691    
JNLE                6                   0.00420592    
JL                  5                   0.00350493    
PUSHFQ              3                   0.00210296    
STD                 3                   0.00210296    
LEA                 2                   0.00140197    
INC                 1                   0.000700987   
